intitule,adresse,codepostal,ville,telephone,latitude,longitude,
Tribunal d'Instance de Saint-Benoit,2 Rue Philibert B.P. 121,97470,ST BENOIT,+33 2 62 50 37 29,-21.034627,55.711672,
Tribunal d'Instance de Saint-Denis-de-La Réunion,5 Avenue André Malraux Champ Fleuri      B.P. 338,97494,STE CLOTILDE CEDEX,+33 2 62 40 22 40,-20.888016,55.46583,
Tribunal d'Instance de Sannois,5 Square Jules Ferry ,95110,SANNOIS,+33 1 39 81 01 38,48.9694204,2.2568702,
Tribunal d'Instance de Beaune,Rue du Tribunal B.P. 187,21205,BEAUNE CEDEX,+33 3 80 25 03 80,47.023336,4.840481,
Tribunal d'Instance de Montreuil (93),62 Rue Franklin ,93100,MONTREUIL,+33 1 48 58 82 53,48.8635771,2.4442126,
Tribunal d'Instance d'Etampes,Palais de Justice 1 Rue Aristide Briand   B.P. 117,91152,ETAMPES CEDEX,+33 1 64 94 61 45,48.426767,2.153289,
Tribunal d'Instance de Belfort,5 Place de la République B.P. 791,90020,BELFORT,+33 3 84 28 16 21,47.639034,6.861215,
Tribunal d'Instance de Saint-Dié-des-Vosges,16 Rue de la Meurthe B.P. 244,88107,ST DIE DES VOSGES CEDEX,+33 3 29 53 52 52,48.282784,6.946582,
Tribunal d'Instance des Sables-d'Olonne,20 rue Nicot ,85100,LES SABLES D'OLONNE,+33 2 51 95 10 45,46.498713,-1.783228,
Tribunal d'Instance de Fontenay-le-Comte,26 Rue Rabelais B.P. 49,85201,FONTENAY LE COMTE CEDEX,+33 2 51 69 00 33,46.46781,-0.812517,
Tribunal d'Instance de La Roche-sur-Yon,55 Boulevard Aristide Briand B.P. 833,85021,LA ROCHE SUR YON CEDEX,+33 2 51 05 31 31,46.66577,-1.429974,
Tribunal d'Instance de Redon,3 Rue Joseph Desmars B.P. 50348,35603,REDON CEDEX,+33 2 99 71 11 34,47.650838,-2.082367,
Tribunal d'Instance de Saint-Malo,2 rue Toulier CS 51731,35417,ST MALO,+33 2 23 18 50 10,48.649971,-2.026743,
Tribunal d'Instance d'Arcachon,Place Lucien de Gracia ,33311,ARCACHON CEDEX,+33 5 56 83 14 66,44.6611091,-1.1705374,
Tribunal d'Instance de Béziers,Place de la Révolution B.P. 604,34535,BEZIERS,+33 4 67 49 60 00,43.34146,3.210654,
Tribunal d'Instance de Thonon-les-Bains,10; rue de l'Hôtel Dieu B.P. 10 516,74200,THONON LES BAINS,+33 4 50 81 20 00,46.369265,6.478767,
Tribunal d'Instance de Paris 1er,Mairie 4 Place du Louvre,75001,PARIS,+33 1 42 44 18 18,48.884589,2.340359,
Tribunal d'Instance d'Annecy,19 Avenue du Parmelan B.P. 2322,74011,ANNECY CEDEX,+33 4 50 33 38 00,45.905339,6.132152,
Tribunal d'Instance de Bonneville,18 Quai du Parquet B.P. 136,74136,BONNEVILLE CEDEX,+33 4 50 25 48 30,46.076837,6.406326,
Tribunal d'Instance d'Albertville,5 Avenue des Chasseurs Alpins B.P. 125,73208,ALBERTVILLE CEDEX,+33 4 79 32 04 77,45.67369,6.392402,
Tribunal d'Instance de Chambéry,Place du Palais de Justice ,73018,CHAMBERY CEDEX,+33 4 79 33 60 09,45.5680849,5.9193652,
Tribunal d'Instance de Lure,Place de la Libération B.P. 25,70201,LURE CEDEX,+33 3 84 30 22 41,47.6850496,6.4930612,
Tribunal d'Instance de Vesoul,6 Place du Palais B.P. 387,70014,VESOUL CEDEX,+33 3 84 76 32 22,47.623789,6.158194,
Tribunal d'Instance de Villefranche-sur-Saône,Palais de Justice 350 Boulevard Gambetta   BP 304,69665,VILLEFRANCHE SUR SAONE,+33 4 74 65 76 90,45.9898649,4.7187518,
Tribunal d'Instance de Guebwiller,1 Place Saint-Léger B.P. 229,68504,GUEBWILLER CEDEX,+33 3 89 62 17 20,47.911771,7.208557,
Tribunal d'Instance de Thann,41 Pl Mal de Lattre de Tassigny B.P. 40070,68802,THANN CEDEX,+33 3 89 37 08 48,47.815894,7.099736,
Tribunal d'Instance de Saverne,7 Rue du Tribunal B.P. 50135,67703,SAVERNE CEDEX,+33 3 88 71 61 51,48.74059,7.364851,
Tribunal d'Instance de Strasbourg,45 Rue du Fossé des Treize B.P. 444,67008,STRASBOURG CEDEX,+33 3 88 15 59 00,48.590302,7.746057,
Tribunal d'Instance de Riom,Rue Jean de Berry B.P. 26,63201,RIOM CEDEX,+33 4 73 33 70 80,45.8949494,3.1169151,
Tribunal d'Instance de Bayonne,17 Avenue de la Légion Tchèque ,64100,BAYONNE,+33 5 59 44 54 80,43.491791,-1.485132,
Tribunal d'Instance de Calais,Palais de Justice 15 Place Crèvecoeur,62103,CALAIS CEDEX,+33 3 21 36 37 69,50.94443,1.859593,
Tribunal d'Instance de Saint-Omer,7 place Victor Hugo BP 10191,62504,ST OMER CEDEX,+33 3 21 12 07 00,50.7483768,2.2524261,
Tribunal d'Instance de Béthune,22 Rue d'Aire B.P. 808,62408,BETHUNE CEDEX,+33 3 21 63 14 30,50.535733,2.637618,
Tribunal d'Instance de Boulogne-sur-Mer,164 Rue Faidherbe B.P. 337,62205,BOULOGNE SUR MER,+33 3 21 33 82 22,50.726567,1.608719,
Tribunal d'Instance de Compiègne,Commune,60321,COMPIEGNE,+33 3 44 38 58 00,49.417087,2.82813,
Tribunal d'Instance de Senlis,1 Allée des Soupirs B.P. 112,60309,SENLIS CEDEX,+33 3 44 53 91 70,49.208952,2.580847,
Tribunal d'Instance de Valenciennes,18 Place du 8 Mai 1945 B.P. 379,59307,VALENCIENNES,+33 3 27 20 23 00,50.356805,3.518359,
Tribunal d'Instance de Douai,66 Rue Saint-Julien B.P. 828,59508,DOUAI,+33 3 27 99 95 95,50.371221,3.076432,
Tribunal d'Instance de Sarreguemines,Place du Général Sibille B.P. 71129,57216,SARREGUEMINES CEDEX,+33 3 87 28 31 00,49.108781,7.068461,
Tribunal d'Instance de Cambrai,Château de Selles B.P. 381,59407,CAMBRAI CEDEX,+33 3 27 73 37 37,50.181597,3.224868,
Tribunal d'Instance de Saint-Avold,37 Avenue Clémenceau B.P. 20029,57501,ST AVOLD CEDEX,+33 3 87 92 11 55,49.107291,6.704991,
Tribunal d'Instance de Sarrebourg,52 Avenue Clémenceau B.P. 50184,57403,SARREBOURG CEDEX,+33 3 87 23 71 82,48.732841,7.055359,
Tribunal d'Instance de Lunéville,7 Rue du Château B.P. 158,54300,LUNEVILLE,+33 3 83 74 04 27,48.593818,6.491962,
Tribunal d'Instance de Verdun,Place Saint-Paul ,55107,VERDUN CEDEX,+33 3 29 86 88 00,49.163768,5.3844849,
Tribunal d'Instance de Briey,Place de l'Eglise B.P. 139,54151,BRIEY CEDEX,+33 3 82 46 04 82,49.252821,5.974587,
Tribunal d'Instance de Cholet,Jardin du Mail B.P. 1425,49314,CHOLET CEDEX,+33 2 41 65 06 62,47.059815,-0.882626,
Tribunal d'Instance de Cherbourg,38 Rue François La Vieille ,50108,CHERBOURG OCTEVILLE CEDEX,+33 2 33 78 15 30,49.641448,-1.625594,
Tribunal d'Instance de Villeneuve-sur-Lot,6 Rue du Gal Lafon de Blaniac ,47300,VILLENEUVE SUR LOT,+33 5 53 49 64 00,44.426811,0.747856,
Tribunal d'Instance de Martigues,Place de la Libération B.P. 122,13695,MARTIGUES CEDEX,+33 4 42 13 50 25,43.405032,5.054811,
Tribunal d'Instance de Figeac,1 boulevard Juskiewenski ,46100,FIGEAC,+33 5 65 50 03 20,44.607426,2.031046,
Tribunal d'Instance de Montbrison,Palais de Justice B.P. 259,42605,MONTBRISON CEDEX,+33 4 77 96 66 66,45.609722,4.064276,
Tribunal d'Instance de Roanne,5 Place Georges Clémenceau B.P. 513,42328,ROANNE CEDEX,+33 4 77 44 48 24,46.039881,4.072387,
Tribunal d'Instance de Dax,Rue des Fusillés B.P. 355,40107,DAX,+33 5 58 74 27 98,43.709466,-1.051532,
Tribunal d'Instance de Mont-de-Marsan,Cité Galliane 3 avenue Dufau,40000,MONT DE MARSAN,+33 5 58 85 75 75,43.89366,-0.494947,
Tribunal d'Instance de Saint-Claude,12 Rue Rosset ,39200,ST CLAUDE,+33 3 84 45 31 12,46.3882042,5.865799,
Tribunal d'Instance de Saint-Etienne,Place du Palais de Justice ,42022,ST ETIENNE CEDEX 1,+33 4 77 43 22 61,45.4379283,4.3842586,
Tribunal d'Instance de La Rochelle,67 Rue de Jéricho ,17041,LA ROCHELLE,+33 5 46 27 63 64,46.167324,-1.166238,
Tribunal d'Instance de Dijon,Cité Judiciaire 13 Bld Clémenceau B.P. 51,21072,DIJON CEDEX,+33 3 80 70 45 25,47.323411,5.045469,
Tribunal d'Instance de Brive-la-Gaillarde,6 rue St Bernard ,19100,BRIVE LA GAILLARDE,+33 5 55 92 67 39,45.157501,1.531457,
Tribunal d'Instance de Saint-Amand-Montrond,11 Cours Manuel ,18204,ST AMAND MONTROND CEDEX,+33 2 48 96 08 48,46.720809,2.505611,
Tribunal d'Instance de Saint-Gaudens,Palais de Justice B.P. 20209,31806,ST GAUDENS CEDEX,+33 5 62 00 83 40,43.133668,0.744874,
Tribunal d'Instance d'Aix-en-Provence,32A Boulevard Emile Zola CS 70719,13616,AIX EN PROVENCE,+33 4 42 17 55 00,43.53282,5.454541,
Tribunal d'Instance de Gap,Palais de Justice Place Saint-Arnoux   B.P. 77,5007,GAP CEDEX,+33 4 92 40 70 00,44.5573985249,6.07751415079,
Tribunal d'Instance de Saint-Quentin,Rue Victor Basch B.P. 645/2,2322,ST QUENTIN CEDEX,+33 3 23 06 29 60,49.84719,3.285475,
Tribunal d'Instance d'Alès,Palais de Justice 3 Place Henri Barbusse  BP 157,30107,ALES CEDEX,+33 4 66 56 27 50,44.122417,4.094377,
Tribunal d'Instance de Libourne,22 Rue Thiers B.P. 221,33506,LIBOURNE CEDEX,+33 5 57 55 36 80,44.913816,-0.244407,
Tribunal d'Instance de Bordeaux,180 Rue Lecocq CS 51029,33077,BORDEAUX CEDEX,+33 5 56 79 79 79,44.8319054431,-0.592065592712,
Tribunal d'Instance de Châteauroux,11 rue Paul Louis Courier B.P. 625,36000,CHATEAUROUX,+33 2 54 53 03 10,46.80937,1.692057,
Tribunal d'Instance de Sète,17 Rue Lacan ,34200,SETE,+33 4 67 18 61 00,43.3983972,3.6952403,
Tribunal d'Instance de Vienne,27-31 Rue de Bourgogne B.P. 105,38209,VIENNE CEDEX,+33 4 74 59 10 80,45.526061,4.873225,
Tribunal d'Instance de Grenoble,Palais de Justice Place Firmin Gautier  B.P. 130,38019,GRENOBLE CEDEX 1,+33 4 38 21 21 21,45.192925,5.727597,
Tribunal d'Instance de Saint-Nazaire,54 Rue de la Paix B.P. 282,44616,ST NAZAIRE,+33 2 72 27 31 31,47.277669,-2.215712,
Tribunal d'Instance de Nantes,Quai François Mitterrand ,44922,NANTES CEDEX 9,+33 2 51 17 95 00,47.207549,-1.557124,
Tribunal d'Instance de Cahors,Boulevard Léon Gambetta Square de Verdun,46000,CAHORS,+33 5 65 23 46 70,44.450094,1.440018,
Tribunal d'Instance de Montargis,84 Rue du Général Leclerc ,45207,MONTARGIS CEDEX,+33 2 38 85 24 42,47.9988918,2.7297794,
Tribunal d'Instance de Marmande,1 Place des Droits de l'Homme B.P. 321,47207,MARMANDE CEDEX,+33 5 53 20 39 32,44.504695,0.173689,
Tribunal d'instance d'Agen,Résidence A. Fallières 14B Rue Diderot,47000,AGEN,+33 5 53 77 07 90,44.200669,0.616701,
Tribunal d'Instance d'Avranches,36 Rue de Lille ,50300,AVRANCHES,+33 2 33 58 15 26,48.6883476,-1.3635765,
Tribunal d'instance d'Annonay,26 boulevard de la République ,7100,ANNONAY,+33 4 75 67 73 13,45.2439614,4.6737007,
Tribunal d'Instance de Chaumont,Rue du Palais Bâtiment B     B.P. 2061,52903,CHAUMONT,+33 3 25 35 34 34,48.112727,5.136812,
Tribunal d'Instance de Reims,1 Place Myron Herrick ,51095,REIMS CEDEX,+33 3 26 49 53 53,49.254484,4.0315076,
Tribunal d'Instance de Nancy,Cité Judiciaire Rue du Gal Fabvier Case Off.27,54035,NANCY CEDEX,+33 3 83 90 85 60,48.687251,6.171022,
Tribunal d'Instance de Laval,13 Place Saint Tugal BP 81515,53015,LAVAL,+33 2 43 59 79 10,48.0693098,-0.7735482,
Tribunal d'Instance de Vannes,22 Bis Place de la République B.P. 504,56019,VANNES CEDEX,+33 2 97 43 77 06,47.656336,-2.761394,
Tribunal d'Instance de Lorient,Centre d'affaires la découverte 39 rue de la villeneuve,56100,LORIENT,+33 2 97 88 28 00,47.75257,-3.378909,
Tribunal d'Instance de Thionville,Moulin Nouviaire 9 Rue Joffre   B.P. 50550,57109,THIONVILLE CEDEX,+33 3 82 82 05 40,49.373816,6.140802,
Tribunal d'Instance de Metz,3 Rue Haute Pierre B.P. 41045,57036,METZ CEDEX 01,+33 3 87 56 75 00,49.116779,6.171264,
Tribunal d'Instance d'Hazebrouck,Résidence Flandres 16 Rue André Biebuyck  BP 70261,59524,HAZEBROUCK CEDEX,+33 3 28 43 87 50,50.732582,2.528169,
Tribunal d'Instance de Dunkerque,16 rue du sud BP 43123,59377,DUNKERQUE CEDEX 1,+33 3 28 25 98 20,51.032384,2.377657,
Tribunal d'Instance de Roubaix,45 Rue du Grand Chemin ,59100,ROUBAIX,+33 3 20 76 98 30,50.6916457,3.1664704,
Tribunal d'Instance de Maubeuge,Parvis de l'Hôtel de Ville place du Dr Forest - BP 40274,59607,MAUBEUGE CEDEX,+33 3 27 53 15 20,50.279842,3.96776,
Tribunal d'Instance de Beauvais,20 Boulevard Saint-Jean B.P. 325,60021,BEAUVAIS CEDEX,+33 3 44 79 60 40,49.429088,2.075929,
Tribunal d'Instance de Tourcoing,65 Rue de Gand ,59200,TOURCOING,+33 3 20 76 35 90,50.727771,3.158699,
Tribunal d'Instance de Pau,6 Rue Mourot ,64034,PAU,+33 5 59 82 39 00,43.298738,-0.3714274,
Tribunal d'Instance de Thiers,6 Place Saint-Genés B.P. 204,63301,THIERS CEDEX,+33 4 73 80 22 12,45.853192,3.547958,
Tribunal d'Instance de Condom,Place Lannelongue ,32100,CONDOM,+33 5 62 28 15 49,43.9586285,0.3718807,
Tribunal d'Instance de Belley,Boulevard du Mail B.P. 137,1306,BELLEY CEDEX,+33 4 79 81 23 05,45.7602077,5.6890103,
Tribunal d'Instance de Brest,Bâtiment QUAI OUEST 150 rue Ernest Hemingway,29200,BREST,+33 2 98 20 75 10,48.385604,-4.478591,
Tribunal d'Instance de Soissons,76 Rue Saint-Martin ,2209,SOISSONS CEDEX,+33 3 23 76 39 39,49.3804223,3.3280404,
Tribunal d'Instance de Nantua,Palais de Justice 4 Place d'Armes   B.P. 27,1130,NANTUA,+33 4 74 75 02 42,46.157038,5.603143,
Tribunal d'Instance de Cannes,19 Boulevard Carnot CS 40016,6414,CANNES CEDEX,+33 4 92 99 64 50,43.556002,7.016974,
Tribunal d'Instance d'Antibes,60 deuxième avenue quartier Nova Antipolis,6600,ANTIBES,+33 4 92 90 49 80,43.600695,7.091052,
Tribunal d'Instance de Menton,7 Rue Prato ,6500,MENTON,+33 4 93 35 74 92,43.7746881,7.498564,
Tribunal d'Instance de Grasse,37 Avenue Pierre Semard B.P. 71029,6133,GRASSE,+33 4 92 60 74 00,43.656694,6.928526,
Tribunal d'Instance de Saint-Girons,Château  Vicomtes du Couserans rue Renée Dejean B.P. 70 112,9201,ST GIRONS CEDEX,+33 5 61 66 01 34,42.9864603,1.14405,
Tribunal d'Instance de Privas,1 Bd des Mobiles B.P.728,7007,PRIVAS,+33 4 75 66 05 20,44.735415,4.601421,
Tribunal d'Instance de Carcassonne,28 Boulevard Jean-Jaurès B.P. 818,11012,CARCASSONNE,+33 4 68 10 37 38,43.214867,2.354691,
Tribunal d'Instance de Troyes,85 Rue du Général de Gaulle B.P. 384,10026,TROYES,+33 3 25 43 56 10,48.297203,4.069243,
Tribunal d'Instance d'Aubagne,La Malounière Avenue de Verdun,13400,AUBAGNE,+33 4 42 82 01 88,43.287531,5.576811,
Tribunal d'Instance de Rodez,Boulevard de Guizard BP 3215,12032,RODEZ,+33 5 65 73 43 05,44.349242,2.572401,
Tribunal d'Instance de Caen,25 Place de la République B.P. 508,14035,CAEN,+33 2 31 86 08 98,49.180795,-0.364061,
Tribunal d'Instance de Salon-de-Provence,481 Boulevard de la République B.P. 19,13651,SALON DE PROVENCE CEDEX,+33 4 90 56 05 46,43.640473,5.089142,
Tribunal d'Instance de Bourges,1 rue du Général Ferrié ,18023,BOURGES,+33 2 34 34 60 20,47.092149,2.393777,
Tribunal d'Instance d'Aurillac,21 Place du Square B.P. 619,15006,AURILLAC CEDEX,+33 4 71 48 88 00,44.928934,2.443212,
Tribunal d'instance de Montbard,2 rue d'Abrantès BP 77,21506,MONTBARD CEDEX,,47.623985,4.3385386,
Tribunal d'Instance de Tulle,Quai Gabriel Péri ,19012,TULLE CEDEX,+33 5 55 26 71 16,45.263366,1.767924,
Tribunal d'Instance de Quimper,77 Rue du Président Sadate ,29018,QUIMPER,+33 2 98 10 14 00,47.9755613,-4.0971902,
Tribunal d'Instance de Guéret,2 rue des Tanneries ,23000,GUERET,+33 5 55 51 96 00,46.168995,1.872799,
Tribunal d'Instance de Bastia,Rond Point de Moro Giafferi ,20407,BASTIA CEDEX,+33 4 95 55 23 00,42.7021365,9.4507475,
Tribunal d'Instance d'Ajaccio,Palais du Finosello Av. Maréchal Lyautey  BP 10973,20700,AJACCIO CEDEX 9,+33 4 95 23 77 60,41.942438,8.747068,
Tribunal d'Instance d'Evreux,4 bis Rue de Verdun BP 60110,27022,EVREUX CEDEX,+33 2 32 29 56 40,49.023917,1.144505,
Tribunal d'Instance de Saint-Brieuc,6 bis allée Marie Le Vaillant B.P. 53548,22035,ST BRIEUC CEDEX 1,+33 2 96 62 64 20,48.512636,-2.758852,
Tribunal d'Instance de Morlaix,Ancien Lycée Tristan Corbière Kerneguès    C.S. 37908,29679,MORLAIX CEDEX,+33 2 98 88 03 47,48.604624,-3.825503,
Tribunal d'Instance de Chartres,5 Rue Mathurin Régnier ,28000,CHARTRES,+33 2 37 18 28 20,48.4432697,1.4875321,
Tribunal d'Instance de Cagnes-sur-Mer,100 Avenue Cyrille Besset Au Cros de Cagnes,6800,CAGNES SUR MER,+33 4 92 12 52 50,43.659246,7.162061,
Tribunal d'Instance de Jonzac,35 Rue des Carmes B.P. 119,17503,JONZAC CEDEX,+33 5 46 48 02 40,45.442517,-0.435354,
Tribunal d'Instance de Charleville-Mézières,12 rue Mme de Sévigné ,8000,CHARLEVILLE MEZIERES,+33 3 51 16 80 06,49.771015,4.717206,
Tribunal d'instance d'Annemasse,20 rue Léandre Vaillat ,74100,ANNEMASSE,+33 4 50 84 05 50,46.189611,6.237425,
Tribunal d'Instance du Creusot,20 Rue de la Chaise B.P. 84,71206,LE CREUSOT CEDEX,+33 3 85 55 10 16,46.804903,4.427015,
Tribunal d'Instance de Fréjus,Palais de Justice 268 Rue Jean-Jaurès   B.P. 118,83608,FREJUS,+33 4 94 44 54 10,43.454735,6.766183,
Tribunal d'Instance de Draguignan,Cité Judiciaire 11 Rue Pierre Clément,83300,DRAGUIGNAN,+33 4 94 60 57 50,43.536572,6.465445,
Tribunal d'Instance de Clermont-Ferrand,Palais de Justice 16 Place de l'Etoile   B.P. 121,63033,CLERMONT FERRAND,+33 4 73 31 78 90,45.783896,3.108126,
Tribunal d'Instance de Lens,11 Rue de l'Hospice B.P. 247,62305,LENS CEDEX,+33 3 21 13 54 10,50.430198,2.83502,
Tribunal d'Instance de Colmar,10 Rue des Augustins B.P. 50466,68020,COLMAR CEDEX,+33 3 89 24 45 24,48.076213,7.357129,
Tribunal d'Instance de Schiltigheim,10 Rue du Tribunal ,67300,SCHILTIGHEIM,+33 3 88 19 27 80,48.6034123,7.7547911,
Tribunal d'Instance de Bar-le-Duc,27 Place Saint-Pierre ,55000,BAR LE DUC,+33 3 29 79 13 91,48.7687461,5.1592725,
Tribunal d'Instance de Saumur,Place Saint-Michel ,49412,SAUMUR CEDEX,+33 2 41 83 47 40,47.2555479,-0.0834208,
Tribunal d'Instance d'Arras,13 Rue Roger Salengro B.P. 565,62008,ARRAS,+33 3 21 71 62 25,50.293852,2.768671,
Tribunal d'Instance de Clamecy,Place Emile Zola B.P. 108,58503,CLAMECY CEDEX,+33 3 86 27 01 50,47.45979,3.521135,
Tribunal d'Instance de Tours,2 Place Jean-Jaurès ,37928,TOURS CEDEX,+33 2 47 60 27 60,47.3900896,0.6897644,
Tribunal d'Instance de Rennes,Cité Judiciaire 7 Rue Pierre Abélard   CS 33132,35031,RENNES CEDEX,+33 2 99 65 37 10,48.1117611,-1.6802654,
Tribunal d'Instance du Puy-en-Velay,6 place du Clauzel CS 10309,43009,LE PUY EN VELAY,+33 4 63 20 70 00,45.043496,3.883991,
Tribunal d'Instance de Blois,15 Rue du Père-Brottier B.P. 1805,41018,BLOIS CEDEX,+33 2 54 56 26 00,47.589834,1.335975,
Tribunal d'Instance de Palaiseau,Place de la Victoire ,91120,PALAISEAU,+33 1 60 14 00 80,48.7121644,2.2429514,
Tribunal d'Instance d'Orange,Rue de Tour B.P. 188,84106,ORANGE CEDEX,+33 4 90 11 11 90,44.120953,4.805124,
Tribunal d'Instance de Nogent-sur-Marne,19 Rue Charles VII ,94735,NOGENT SUR MARNE CEDEX,+33 1 43 94 17 35,48.8364381,2.4868371,
Tribunal d'Instance d'Ivry-sur-Seine,Place Marcel Cachin ,94205,IVRY SUR SEINE CEDEX,+33 1 45 15 22 88,48.8140434,2.3901939,
Tribunal d'Instance de Saintes,8 Impasse des Cordeliers B.P. 324,17108,SAINTES CEDEX,+33 5 46 93 10 02,45.748485,-0.634407,
Tribunal d'Instance de Saint-Flour,Palais de Justice 1 Rue du Théâtre  B.P. 34,15101,ST FLOUR CEDEX,+33 4 71 60 03 75,45.033198,3.09155,
Tribunal d'Instance de Vire,19 Rue de la Sous-Préfecture B.P. 137,14504,VIRE CEDEX,+33 2 31 68 01 03,48.840216,-0.895791,
Tribunal d'Instance de Tarascon,Quartier Kilmaine Batiment Austerlitz,13150,TARASCON,+33 4 90 91 49 89,43.795951,4.691227,
Tribunal d'Instance de Lisieux,2 Bis Boulevard Carnot B.P. 212,14107,LISIEUX CEDEX,+33 2 31 62 07 31,49.147683,0.223672,
Tribunal d'Instance de Foix,Palais de Justice 14 Rue du Rocher  B.P. 78,9008,FOIX CEDEX,+33 5 34 09 37 50,42.96647,1.605087,
Tribunal d'Instance de Sedan,1 Rue de la Comédie B.P. 90234,8208,SEDAN CEDEX,+33 3 24 29 10 17,49.70259,4.943716,
Tribunal d'Instance de Millau,2 Boulevard de l'Ayrolle B.P. 353,12103,MILLAU CEDEX,+33 5 65 61 48 00,44.099492,3.07832,
Tribunal d'Instance de Narbonne,19 Bd du Général de Gaulle B.P. 810,11108,NARBONNE CEDEX,+33 4 34 44 60 70,43.185887,3.009311,
Tribunal d'Instance de Mende,Boulevard Henri Bourillon ,48000,MENDE,+33 4 66 49 36 36,44.516188,3.49822,
Tribunal d'Instance de Péronne,57 Rue Saint-Fursy ,80200,PERONNE,+33 3 22 84 72 80,49.926836,2.931625,
Tribunal d'Instance de Poissy,89 Avenue Maurice Berteaux ,78308,POISSY CEDEX,+33 1 39 65 05 35,48.9330154,2.0426215,
Tribunal d'Instance de Rambouillet,56 Rue Gambetta ,78514,RAMBOUILLET CEDEX,+33 1 30 46 29 60,48.6481437,1.8235406,
Tribunal d'Instance de Saint-Germain-en-Laye,22 Rue de la Maison Verte ,78100,ST GERMAIN EN LAYE,+33 1 30 87 42 10,48.8932611,2.0814143,
Tribunal d'Instance de Versailles,5 Place André Mignot R.P. 1109,78011,VERSAILLES CEDEX,+33 1 39 07 39 40,48.80352,2.131783,
Tribunal d'Instance de Rouen,34 Rue aux Juifs ,76037,ROUEN CEDEX,+33 2 35 52 88 98,49.442034,1.092297,
Tribunal d'Instance de Fontainebleau,159 Rue Grande batiment B - 2ème étage,77300,FONTAINEBLEAU,+33 1 60 74 90 80,48.443691,2.609939,
Tribunal d'Instance de Lagny-sur-Marne,108 rue Saint-Denis BP 109,77405,LAGNY SUR MARNE CEDEX,+33 1 64 12 48 35,48.878922,2.707755,
Tribunal d'Instance de Melun,2 Avenue du Général Leclerc B.P. 8620,77008,MELUN,+33 1 64 79 83 00,48.527225,2.653534,
Tribunal d'Instance de Mulhouse,44 Avenue Robert Schuman B.P. 3047,68061,MULHOUSE CEDEX 3,+33 3 89 35 42 42,47.75666,7.348516,
