intitule,adresse,codepostal,ville,telephone,latitude,longitude,
Conseil départemental d'accès au droit du Bas-Rhin,TGI de Strasbourg Quai Finkmatt BP 1030,67070,STRASBOURG CEDEX,+33 3 88 75 27 27,48.587234,7.747288,
Permanence d’information et d’orientation juridiques de Beaujeu,Maison du Département 48ter rue du Général Leclerc ,69430,BEAUJEU,+33 4 74 65 05 95,46.1514124,4.5940608,
Conseil départemental d'accès au droit du Rhône,67 rue Servient  ,69433,LYON CEDEX 03,+33 4 72 60 70 12,45.7603055,4.8465698,
Maison de Justice et du Droit de Mulhouse,31 Grand'Rue  ,68100,Mulhouse,+33 3 89 36 80 30,47.745197,7.330648,
Maison de Justice et du Droit de Colmar,11 Avendue de Rome  ,68000,Colmar,+33 3 89 80 11 67,48.124717,7.39689,
Conseil départemental d'accès au droit du Haut-Rhin,TGI de Colmar Place du Marché aux Fruits BP 448,68027,COLMAR CEDEX,+33 3 89 20 56 00,48.124717,7.39689,
Tribunal pour Enfants de Caen,Rue Saint-Manvieu  ,14000,CAEN,+33 2 31 86 39 32,49.1829083,-0.3711223,
Maison de Justice et du Droit de Vaulx en Velin,27-29 Rue Condorcet  ,69120,Vaulx-en-Velin,+33 4 37 45 12 40,45.778013,4.918567,
Permanence d’information et d’orientation juridiques de Tarare,Maison du Département 6 rue du Pigeonnier ,69170,TARARE,+33 4 74 05 36 20,45.8952179,4.4355124,
Point d'accès au droit de Saint-Fons,Association d’aide aux victimes de St Fons 30 rue Anatole France ,69190,ST FONS,+33 4 72 09 20 47,45.7109134,4.8530872,
Point d'accès au droit de Grigny,Maison de la formation de Grigny 36 avenue des Arondières ,69520,GRIGNY,+33 4 78 07 41 00,45.6090536,4.779554,
Point d'accès au droit de Givors,Centre communale d’action sociale de la Mairie annexe de Givors Place du Général De Gaulle Quartier des Vernes,69700,GIVORS,,45.583087,4.752241,
Maison de Justice et du Droit de Bron,3-5 Rue Carnot  ,69500,Bron,+33 4 78 26 49 39,45.734111,4.906877,
Point d'accès au droit mobile Bus Info de la Communauté urbaine d'Arras et du centre départemental d'accès au droit du Pas-de-Calais,Mairie Hôtel de ville Place Jean Jaurès,62217,ACHICOURT,,50.2736187,2.7576641,
Conseil départemental d'accès au droit du Pas-de-Calais,Tribunal de Grande Instance Place des Etats d'Artois BP 924,62000,ARRAS,+33 3 21 51 52 06,50.290256,2.776262,
Permanence d’information et d’orientation juridiques de Mortagne Au Perche,Mairie 22 place du Général de Gaulle ,61400,MORTAGNE AU PERCHE,+33 2 33 85 11 11,48.5204861,0.54536,
Permanence d’information et d’orientation juridiques de Flers,23 rue Joseph Morin (accès rue de la Géroudière)  ,61100,FLERS,+33 2 33 32 20 00,48.739874,-0.569406,
Permanence d’information et d’orientation juridiques d'Argentan,2 rue d'Auvergne  ,61200,ARGENTAN,+33 2 33 32 20 00,48.753996,-0.028629,
Permanence d’information et d’orientation juridiques d'Alençon,Chambre des notaires de l'Orne 45 cours Clémenceau ,61000,ALENCON,+33 2 33 26 61 30,48.43214,0.087483,
Conseil départemental d'accès au droit de l'Orne,Tribunal de Grande Instance Place Foch ,61014,ALENCON CEDEX,+33 2 41 20 51 00,48.4301394,0.0826734,
Point d'accès au droit de Bully-Les-Mines,Espace de Conciliation et d'Accès au Droit 7 place Victor Hugo ,62160,BULLY LES MINES,+33 3 21 29 25 06,50.44572,2.7223474,
Point d'accès au droit d'Avion,Maison des Habitants Léandre Letoquart Quartier de la République ,62210,AVION,+33 3 21 49 75 37,50.4063267,2.8132152,
Conseil de Prud'hommes d'Argenteuil,9 Rue des Celtes  ,95813,ARGENTEUIL CEDEX,+33 1 39 80 40 40,48.9556573,2.2330742,
Conseil de Prud'hommes de Saint-Pierre,30 Rue Augustin Archambaud B.P. 338 ,97448,ST PIERRE CEDEX,+33 2 62 96 10 50,-21.336686,55.479027,
Point d'accès au droit de Houdain,Maison de la Jeunesse et de la vie associative 5 place de la Marne ,62150,HOUDAIN,+33 3 21 61 77 90,50.4563849,2.5492092,
Antenne de justice de Henin-Beaumont,Maison Anne Franck Rue Montpencher ,62110,HENIN BEAUMONT,+33 3 21 49 44 58,50.42323,2.948336,
Point d'accès au droit mobile Bus Info de la Communauté urbaine d'Arras et du centre départemental d'accès au droit du Pas-de-Calais,Mairie Place de l'Eglise ,62118,FAMPOUX,,50.3017816,2.8686589,
Tribunal du Travail de Nouméa,2 Boulevard Extérieur B.P. F4 ,98848,NOUMEA CEDEX,+687 27 93 50,-22.2747558,166.4490616,
Point d'accès au droit de Libercourt,2 rue Jean Baptiste Delobel  ,62820,LIBERCOURT,+33 3 21 37 10 43,50.4780708,3.0094126,
Point d'accès au droit mobile Bus Info de la Communauté urbaine d'Arras et du centre départemental d'accès au droit du Pas-de-Calais,Mairie 1 Grand Rue ,62580,THELUS,,50.3566119,2.8445421,
Point d'accès au droit de Saint-Pol-sur-Ternoise,CIAS 31 rue des Procureurs ,62130,ST POL SUR TERNOISE,,50.3831948,2.3350469,
Point d'accès au droit de Liévin,Maison de la Parentalité de l'EPDEF 49 rue Jean-Baptiste Defernez ,62800,LIEVIN,+33 3 21 45 81 60,50.4193452,2.7730245,
Maison de Justice et du Droit de Lens,Pavillon Desmoulins Quartier de la Grande Résidence Rue Alain,62300,Lens,+33 3 91 81 01 10,50.443822,2.829884,
Tribunal du Travail de Mata-Utu,Tribunal du Travail de MATA-UTU Tribunal de 1ère Instance ,98600,UVEA,+681 72 27 15,-13.2959105,-176.2056843,
Permanence d’information et d’orientation juridiques de Cournon-D'Auvergne,Mairie Avenue George Clémenceau ,63800,COURNON D AUVERGNE,+33 4 73 69 90 00,45.7423574,3.1965744,
Permanence d’information et d’orientation juridiques de Clermont Ferrand,Centre associatif Jean Richepin 12 rue Jean Richepin ,63000,CLERMONT FERRAND,+33 4 73 42 63 63,45.781629,3.087922,
Permanence d’information et d’orientation juridiques de La Bourboule,Mairie 15 place de la République ,63150,LA BOURBOULE,+33 4 73 81 31 00,45.5877352,2.7383989,
Permanence d’information et d’orientation juridiques d'Aubière,Mairie Place de la Mairie ,63170,AUBIERE,+33 4 73 44 83 52,45.7313815,3.0655836,
Permanence d’information et d’orientation juridiques d'Ambert,Mairie Boulevard Henri IV ,63600,AMBERT,+33 4 73 82 07 60,45.5490605,3.7419134,
Conseil départemental d'accès au droit de Puy-de-Dôme,Tribunal de grande instance 16 place de l'étoile ,63001,CLERMONT FERRAND CEDEX 1,+33 4 73 31 77 00,45.7793952,3.0807851,
Permanence d’information et d’orientation juridiques de Pontgibaud,Mairie Rue de l'Hôtel de Ville ,63230,PONTGIBAUD,+33 4 73 88 70 42,45.8323593,2.8511432,
Permanence d’information et d’orientation juridiques de Pérignat-Lès-Sarliève,Mairie Rue Aubière ,63170,PERIGNAT LES SARLIEVE,+33 4 73 79 11 02,45.736045,3.1351983,
Permanence d’information et d’orientation juridiques de Mont-Dore,Mairie 1 rue Côte Boissy ,63240,LE MONT DORE,+33 4 73 65 20 00,45.5750566,2.8101641,
Permanence d’information et d’orientation juridiques d'Issoire,Maison des Associations 20 rue du Palais ,63500,ISSOIRE,+33 4 73 96 33 50,45.5445857,3.2484634,
Tribunal Administratif de Paris,7 Rue de Jouy  ,75181,PARIS CEDEX 04,+33 1 44 59 44 00,48.8548247,2.3583101,
Permanence d’information et d’orientation juridiques de Thiers,Mairie 1 rue François Mitterand ,63300,THIERS,+33 4 73 80 88 87,45.8552477,3.5482356,
Permanence d’information et d’orientation juridiques de Saint-Eloy-Les-Mines,Mairie Place de l'Hôtel de Ville ,63700,ST ELOY LES MINES,+33 4 73 85 08 24,46.1612307,2.834858,
Permanence d’information et d’orientation juridiques de Romagnat,Mairie Allée du Château ,63540,ROMAGNAT,+33 4 73 62 79 79,45.7338382,3.1052172,
Permanence d’information et d’orientation juridiques de Riom,Mairie 23 rue de l'Hôtel de Ville ,63200,RIOM,+33 4 73 33 79 00,45.8939231,3.1151854,
Permanence d’information et d’orientation juridiques de Randan,Mairie Place de l'Eglise ,63310,RANDAN,+33 4 70 41 50 02,46.0098233,3.3311487,
Permanence d’information et d’orientation juridiques de Hendaye,Mairie Place de la république ,64700,HENDAYE,,43.3585945,-1.7746936,
Permanence d’information et d’orientation juridiques de Biarritz,Centre communal d'action sociale (CCAS) Avenue Edouard VII ,64200,BIARRITZ,,43.4838591,-1.5580722,
Conseil Départemental d'Accès au Droit des Pyrénées-Atlantiques,3 rue Faget de Baure  ,64000,PAU,+33 5 59 98 07 65,43.298462,-0.372384,
Tribunal pour Enfants d'Angoulême,Place Francis Louvel B.P. 214 ,16007,ANGOULEME CEDEX,+33 5 45 37 11 47,45.649207,0.15429,
Point d'Accès au Droit,Tribunal d'instance Boulevard du Mail ,1300,Belley,+33 6 07 12 96 34,45.7604844,5.6884768,
Maison de Justice et du Droit de Bourg-en-Bresse,34 Cours Verdun  ,1000,Bourg-en-Bresse,+33 4 74 14 01 40,46.2065,5.227548,
Point d'Accès au Droit,148 Rue du Commerce  ,1170,Gex,+33 4 50 41 35 86,46.3331455,6.0574629,
Point d'Accès au Droit,Espace Associatif et Social Rue de la Gare ,1120,Montluel,+33 6 03 31 40 55,45.8501258,5.0573715,
Cour d'Appel de Riom,2 Bld Chancelier de l'Hospital B.P. 35 ,63201,RIOM CEDEX,+33 4 73 63 29 70,45.895863,3.11763,
Centre de semi-liberté de Corbeil-Essonnes,26 rue Féray  ,91108,CORBEIL ESSONNES CEDEX,+33 1 64 96 02 55,48.610499,2.478604,
Conseil Départemental d'Accès au Droit de l'Allier,Tribunal de Grande Instance 20 Rue de Paris ,3016,Moulins,+33 4 70 35 14 55,46.5683737,3.330534,
Maison de Justice et du Droit de Montluçon,Centre social Avenue de Fontbouillant ,3100,Montluçon,+33 4 70 64 75 95,46.32841,2.581243,
Conseil de Prud'hommes de Morlaix,6 allée du Poan ben C.S. 47811 ,29678,MORLAIX CEDEX,+33 2 98 88 64 51,48.576282,-3.823239,
Permanence d’information et d’orientation juridiques de Moulins,Chambre Départementale des Huissiers de Justice 1 route de Clermont ,3000,MOULINS,+33 4 70 20 02 17,46.560714,3.320946,
Permanence d’information et d’orientation juridiques de Vichy,Salle des fêtes Place de l’Hôtel de Ville ,3200,VICHY,+33 4 70 30 17 19,46.1245492,3.4276307,
Cour d'Appel d'Amiens,14 Rue Robert de Luzarches BP 2722 ,80027,AMIENS CEDEX 1,+33 3 22 82 35 00,49.8935279,2.3012434,
Conseil départemental d'accès au droit de l'Aisne,Tribunal de Grande Instance 3 Place Aubry ,2011,LAON CEDEX,+33 3 60 81 30 10,49.5646998482,3.62524133439,
Permanence d’information et d’orientation juridiques de Péronne,Mairie 43 route de Paris ,80200,PERONNE,+33 3 22 84 45 04,49.9138389,2.9337132,
Permanence d’information et d’orientation juridiques de Montdidier,Mairie Place du Général de Gaulle ,80500,MONTDIDIER,+33 3 22 78 75 71,49.6468756,2.5672972,
Permanence d’information et d’orientation juridiques de Longueau,Centre communal d'action sociale (CCAS) Rue Anatole France ,80330,LONGUEAU,+33 3 22 50 45 45,49.8687045,2.3566498,
Permanence d’information et d’orientation juridiques de Ham,Mairie 7 place de l'hôtel de Ville ,80400,HAM,+33 3 22 81 24 38,49.7480669,3.0722259,
Permanence d’information et d’orientation juridiques de Doullens,Mairie 2 avenue du Maréchal Foch ,80600,DOULLENS,+33 3 22 77 00 07,50.1571007,2.3413059,
Permanence d’information et d’orientation juridiques de Corbie,Centre communal d'action sociale (CCAS) 1 rue Faidherbe ,80800,CORBIE,+33 3 22 96 43 03,49.9075969,2.5117417,
Permanence d’information et d’orientation juridiques de Castres,Ordre des avocats du Barreau de Castres 57 rue de l'Hôtel de Ville ,81100,CASTRES,+33 5 63 59 53 69,43.605796,2.23817,
Maison des services publics,Square Bonaparte  ,81000,ALBI,+33 5 63 77 83 90,43.9425519,2.1558171,
Conseil départemental d'accès au droit du Tarn,Tribunal de grande instance d'Albi BP 156 ,81005,ALBI CEDEX,+33 5 63 49 26 99,43.918904,2.140506,
Permanence d’information et d’orientation juridiques de Roye,Mairie Place de l'Hôtel de ville ,80700,ROYE,+33 3 22 87 00 52,49.6980201,2.788723,
Point d'accès au droit de Caussade,Rue de l'abreuvoir  ,82300,CAUSSADE,+33 5 63 65 05 55,44.1656801,1.5418332,
Point d'accès au droit de Castelsarrasin,22 rue de la Mouline  ,82100,CASTELSARRASIN,+33 5 63 32 51 45,44.0357055,1.113275,
Point d'accès au droit de Beaumont De Lomagne,12 rue de Tourreilh  ,82500,BEAUMONT DE LOMAGNE,+33 5 63 26 20 61,43.883032,0.9882461,
Conseil départemental d'accès au droit du Tarn et Garonne,Tribunal de grande instance Place du Coq ,82013,MONTAUBAN CEDEX,+33 5 63 21 40 00,44.0168191,1.3537463,
Maison de Justice et du Droit du Mazamétain et de la Vallée de Thoré,5 Rue de Gramentès  ,81200,Mazamet,+33 5 63 97 77 35,43.499912,2.386815,
Point d'accès au droit de Lafrançaise,33 rue Marie Lafon  ,82130,LAFRANCAISE,+33 5 63 65 91 90,44.1284267,1.241079,
Point d'accès au droit de Grisolles,2 rue Alphonse Daudet  ,82170,GRISOLLES,+33 5 63 27 00 90,43.8271349,1.2971231,
Point d'accès au droit de Montech,3 rue des écoles  ,82700,MONTECH,+33 5 63 27 09 51,43.9563642,1.2324111,
Point d'accès au droit de Moissac,8 place des Récollets  ,82200,MOISSAC,+33 5 63 04 65 00,44.1034873,1.0860635,
Point d'accès au droit de Lauzerte,Cité des Nauzes  ,82110,LAUZERTE,+33 5 63 94 30 59,44.2552578,1.1392247,
Conseil Départemental d'Accès au Droit des Alpes-Maritimes,Tribunal de Grande Instance Place du Palais ,6357,Nice,+33 4 92 17 70 00,43.7059595,7.2745517,
Point d'accès au droit de Hyères,Point d'Accès au droit Place de la République ,83400,HYERES,+33 4 94 61 15 23,43.1213872,6.1301943,
Point d'accès au droit de Fréjus,Rue Jean Giono  ,83600,FREJUS,+33 4 94 54 53 42,43.4342738,6.7593932,
Point d'accès au droit de Draguignan,Point d'Accès au droit de la Dracenie 19 rue de Trans ,83300,DRAGUIGNAN,+33 4 98 10 29 20,43.5382329,6.4669377,
Antenne de justice de Brignoles,4 Avenue Maréchal Foch  ,83170,Brignoles,+33 4 98 05 93 81,43.408415,6.071254,
Conseil Départemental d'Accès au Droit du Var,Tribunal de Grande Instance Place Gabriel Péri B.P. 506,83041,Toulon Cédex,+33 4 94 09 60 00,43.126272,5.9256542,
Point d'Accès au Droit,Boulevard Victor Guilhem  ,82400,Valence d’Agen,+33 5 63 39 66 22,44.1095099,0.8880924,
Point d'accès au droit de St Antonin Noble Val,Route des fours à chaux  ,82140,ST ANTONIN NOBLE VAL,+33 5 63 30 69 15,44.1526551,1.7518484,
Point d'accès au droit de Negrepelisse,Avenue Colombier  ,82800,NEGREPELISSE,+33 5 63 30 91 54,44.0713733,1.5169298,
Permanence d’information et d’orientation juridiques de Beausoleil,Mairie Boulevard de la République ,6240,BEAUSOLEIL,+33 4 93 41 71 71,43.7433406,7.4256661,
Maison de Justice et du Droit de Toulon,Place Besagne Traverse des Minimes ,83000,Toulon,+33 4 94 87 14 60,43.119169,5.935084,
Maison de Justice et du Droit de La Seyne-sur-Mer,Maison des Services Le Germinal Bâtiment A4_Quartier Berthe,83500,La-Seyne-sur-Mer,+33 4 94 63 50 98,43.110868,5.872235,
Antenne de justice de Saint-Maximin,Ancienne gendarmerie Place Mermoz ,83470,ST MAXIMIN LA STE BAUME,+33 4 94 86 65 10,43.451414,5.8622,
Permanence d’information et d’orientation juridiques de Breil-sur-Roya,Mairie de Breil sur Roya Place Biancheri ,6540,BREIL SUR ROYA,+33 4 93 04 99 99,43.9380175,7.5137387,
Permanence d’information et d’orientation juridiques de Bollène,Maison du Droit et de la Citoyenneté Rue Voltaire ,84500,BOLLENE,+33 4 90 40 51 49,44.28083,4.751055,
Permanence d’information et d’orientation juridiques d'Apt,Centre Social Maison Bonhomme 455 avenue de Verdun ,84400,APT,+33 4 90 04 80 80,43.8739386,5.4064749,
Conseil Départemental d'Accès au Droit du Vaucluse,Palais de Justice d'Avignon 2 boulevard Limbert ,84000,AVIGNON,+33 4 32 74 74 00,43.944784,4.816066,
Tribunal de commerce de Thonon-les-Bains,10 rue de l'Hotel Dieu  ,74200,THONON LES BAINS,+33 4 50 72 13 20,46.3689144,6.4788028,
Tribunal de Commerce de Boulogne-sur-Mer,164 Rue Faidherbe B.P. 47 ,62201,BOULOGNE SUR MER CEDEX,+33 3 21 83 79 11,50.7265327,1.608809,
Tribunal de Commerce d'Arras,13 Place Roger Salengro  ,62000,ARRAS,+33 3 21 51 01 04,50.2938427,2.7685987,
Permanence d’information et d’orientation juridiques de Castellane,Relais de service public Rue du 11 novembre ,4120,CASTELLANE,+33 4 92 83 77 19,43.8466629,6.5108668,
Point d'accès au droit de Mantes-La-Jolie,Point d'accès au droit - Quartier prioritaire Val Fourré 254 boulevard du Maréchal Juin ,78200,MANTES LA JOLIE,+33 1 30 94 02 02,48.9954901,1.6918012,
Maison de Justice et du Droit_Antenne de Guyancourt,Place François Rabelais  ,78280,Guyancourt,+33 1 39 30 32 40,48.773166,2.071632,
